work_city,count
Tel Aviv,66
Omer,65
Jerusalem,43
Kiryat Gat,41
Ramat Gan,30
Ashdod,22
Dimona,21
Rehovot,21
Eilat,21
Qiryat Gat,20
Sderot,19
Petah Tikva,17
Herzliya,13
Yeroham,12
Ashkelon,12
Reẖovot,11
Raanana,11
Arad,10
Rahat,10
Sederot,10
Haifa,9
Netanya,9
Netivot,8
Ofakim,8
Yavne,8
Rishon LeZion,7
Lod,6
Ashqelon,6
Yeruham,5
Sde Boker,5
Lehavim,5
Meitar,5
Ofaqim,5
Or Yehuda,4
Herzliyya,3
Midreshet Ben Gurion,3
Rosh HaAyin,3
Midreshet Ben-Gurion,3
Beit Shemesh,3
Magen,3
Mitzpe Ramon,2
Ramat Negev,2
Beer Shiva,2
Yerucham,2
Neve Zohar,2
Kefar Sava,2
Bet Shemesh,2
jerusalem,2
Hod HaSharon,2
mitzpe ramon,2
Nes Ziyyona,2
Nes Ziona,2
M.A Ramat Negev,2
Eshkol,2
Ness Ziona,2
Mizpe Ramon,2
Mitar,1
Rmat Gan,1
Hura,1
Elat,1
Kiryat Ono,1
Ra'ananna,1
Rosh Ha‘Ayin,1
rehovot,1
Beeer Sheva,1
Kfar Sava,1
rahat,1
Pittsburgh,1
Hong Kong,1
meitar,1
Ber sheva,1
Kfar Saba,1
Yokneam,1
Holon,1
Givatiim,1
Ra'anana,1
Rishon Lezion,1
London,1
qiryat gat,1
Sede Boker,1
Shderot,1
Azor,1
Giv’atayim,1
Bnei Shimon,1
Berlin,1
Sde-Boker,1
kiryat gat,1
ofakim,1
Tel-Aviv,1
Metar,1
Qaesarea,1
Miẕpe Ramon,1
Paris,1
Kiriat Mozkin,1
Eilot,1
Miami,1
Boston,1
eilat,1
Kiryat Malachi,1
Hadera,1
Mizpe Ramom,1
Xuzhou,1
Bear-sheva,1
Eshkolot,1
Sde-Boqer,1
Herzeliya,1
Beet sheva,1
Migdal HaEmek,1
Herzelia,1
New York,1
Palm Desert,1
Kiriat -Gat,1
Beesr Sheva,1
Lahavim,1
Mitzper ramon,1
