education_end_year,education_field_fine,count,n_total,n_known,known_pct
1952,public_policy,1,926,119,12.9
1985,economics,1,926,119,12.9
1986,economics,1,926,119,12.9
1987,medicine,1,926,119,12.9
1988,computer_science,1,926,119,12.9
1991,computer_science,1,926,119,12.9
1995,computer_science,1,926,119,12.9
1998,behavioral_sciences,1,926,119,12.9
2001,biology,2,926,119,12.9
2002,economics,1,926,119,12.9
2006,business_administration,1,926,119,12.9
2006,health_care_administration,1,926,119,12.9
2006,medicine,1,926,119,12.9
2007,behavioral_sciences,1,926,119,12.9
2007,psychology,1,926,119,12.9
2008,chemical_engineering,1,926,119,12.9
2008,mechanical_engineering,1,926,119,12.9
2009,economics,1,926,119,12.9
2009,linguistics,1,926,119,12.9
2009,materials_engineering,1,926,119,12.9
2010,computer_science,1,926,119,12.9
2010,industrial_engineering,1,926,119,12.9
2010,social_work,1,926,119,12.9
2011,biology,1,926,119,12.9
2011,geography,1,926,119,12.9
2011,materials_engineering,1,926,119,12.9
2011,psychology,2,926,119,12.9
2011,social_work,1,926,119,12.9
2012,mechanical_engineering,2,926,119,12.9
2012,political_science,1,926,119,12.9
2013,biotechnology,1,926,119,12.9
2013,business_administration,1,926,119,12.9
2013,political_science,1,926,119,12.9
2014,biotechnology,1,926,119,12.9
2014,business_administration,1,926,119,12.9
2014,materials_engineering,1,926,119,12.9
2014,mechanical_engineering,1,926,119,12.9
2014,psychology,1,926,119,12.9
2015,economics,1,926,119,12.9
2015,public_policy,1,926,119,12.9
2016,economics,1,926,119,12.9
2017,business_administration,2,926,119,12.9
2017,computer_science,1,926,119,12.9
2017,political_science,1,926,119,12.9
2017,psychology,1,926,119,12.9
2018,business_administration,2,926,119,12.9
2018,civil_engineering,2,926,119,12.9
2018,psychology,1,926,119,12.9
2019,business_administration,1,926,119,12.9
2019,chemical_engineering,1,926,119,12.9
2019,civil_engineering,1,926,119,12.9
2019,electrical_engineering,1,926,119,12.9
2019,linguistics,1,926,119,12.9
2019,materials_engineering,1,926,119,12.9
2019,medicine,2,926,119,12.9
2020,biology,1,926,119,12.9
2020,business_administration,2,926,119,12.9
2020,economics,1,926,119,12.9
2020,mechanical_engineering,1,926,119,12.9
2020,physics,1,926,119,12.9
2020,psychology,2,926,119,12.9
2021,business_administration,1,926,119,12.9
2021,social_work,1,926,119,12.9
2022,biology,2,926,119,12.9
2022,business_administration,1,926,119,12.9
2022,computer_science,1,926,119,12.9
2022,linguistics,1,926,119,12.9
2022,medicine,1,926,119,12.9
2022,psychology,2,926,119,12.9
2022,social_work,1,926,119,12.9
2023,biology,1,926,119,12.9
2023,chemical_engineering,1,926,119,12.9
2023,civil_engineering,1,926,119,12.9
2023,computer_science,1,926,119,12.9
2023,economics,1,926,119,12.9
2023,electrical_engineering,1,926,119,12.9
2023,health_care_administration,1,926,119,12.9
2023,mechanical_engineering,1,926,119,12.9
2023,psychology,2,926,119,12.9
2024,biology,3,926,119,12.9
2024,biotechnology,1,926,119,12.9
2024,electrical_engineering,2,926,119,12.9
2024,industrial_engineering,1,926,119,12.9
2024,linguistics,1,926,119,12.9
2024,mechanical_engineering,2,926,119,12.9
2024,software_engineering,1,926,119,12.9
2025,biology,1,926,119,12.9
2025,biomedical_engineering,1,926,119,12.9
2025,electrical_and_computer_engineering,1,926,119,12.9
2025,industrial_engineering,1,926,119,12.9
2025,mechanical_engineering,1,926,119,12.9
2025,medicine,1,926,119,12.9
2025,software_engineering,2,926,119,12.9
2026,biomedical_engineering,1,926,119,12.9
2026,electrical_engineering,1,926,119,12.9
2026,psychology,1,926,119,12.9
2027,biomedical_engineering,1,926,119,12.9
2027,geography,1,926,119,12.9
2027,industrial_engineering,1,926,119,12.9
2027,social_work,1,926,119,12.9
2028,electrical_engineering,1,926,119,12.9
2028,psychology,1,926,119,12.9
