,?? ????,?? ??? ????,????,
,Altera Health,??????? ????? ???????,??????,
,MDClone,????? ????? ?????? ?? ??????,??????,
,2bprecisehealth.com,???????? ?????? ?????? ?????,??????,
1,???? ????? ?????,?????? ?????? ????? ??????,??????,
2,Novocure,??????? ????? ??????/?????,??????,
3,Micron,?????? ????? ??????? ??????,?????,
4,NVIDIA,????? GPU ??????????? ???? ????????,?????,
5,Intel,?????? ????? ??????,?????,
6,DELL,"??????, ?????, ????? ??????? IT",????? / ???????,
7,Elbit Systems ????? ???????? ?????? + ,????????? ??????? ???? ?????? ???????? ??????????? ?????,?????? / ?????????,
8,DELL CYBER LAB ?? SYNERGY 7,????? ????? ??????? ????? ??????????,?????????,???? ???? 2026
9,SYNERGY 7,?????? ???? ??????? ????????? ????????,?????????,
10,DotSoil,??????? / ?????????,?????????,
11,Leidos,??????? ????????? ?????? ??????? ???????,?????????,
12,Rafael,?????? ?????? ?? ??????? ???? ???????,?????????,
13,DCIC,???? ?????? ?????? ?????????? ????? ???????,?????????,
14,Capow-Tech,???????? ??????????,?????????,
15,Mirage Dynamics,??????? ??????????/?????????,?????????,
16,Bank Leumi,??? ?????? ??????? ??????,?????,
18,EY (Ernst & Young),"????? ??????, ?????? ??????",????? / ???????,
20,LexisNexis Risk,??????? ???? ???????? ??Risk Intelligence,????? / ?????,
21,Agmon?Law.co.il,???? ????? ???,??????,
22,Tevk?Law.com,???? ????? ??? ?????? ?????,??????,
23,Brooks?Keret,???? ????? ???,??????,
24,Merage Foundation,??? ??????????,???????,
25,Incubit Ventures,??? ??? ????? ?????? ???????????,???????,
26,Tech7,????? ?????? ?????? ?????????? ??????,??????? / ?????????,
27,BDO.co.il,?????? ????? ????? ?????? ?????,??????? / ?????,
28,IBM,"?????, ?????? ???, ????? ???????? IT",?????,
29,RAD,??????? ??????,?????,
30,CyberArk ( ???? ???? ),??????? ????? ???? ????? ??????,?????,
31,Morphisec,??????? ????? ????? ??????? ???,?????,
32, (?? ?????) Sigmabit,"??????? ???? ?????, ??? ???? ????????????",?????,
33,Microsoft,"????? ?????, ?????? ??? ??????? ?????",?????,
34,RSA,??????? ????? ???? ????????,?????,
35,Taboola,???????? ?????? ???? ?????,?????,
36,Wix,???????? ?????? ?????,?????,
37,DataDudes.ai,??????? ????? ??????,?????,
38,RBBN (Ribbon Communications),??????? ?????? IP,?????,
39,PixelGroup.io,????? ????? ?????? ??????????,?????,
40,NeuroBrave,????????? ????? ???? ????????,?????,
41,Idantech.co.il,??????? ????????,?????,
42,Cyberglobes.com,???????? ???? ?????? ????? ?????,?????,
43,Configo,???? ?????/??????? ??????????,?????,
44,Oracle,??????? ????? ?????? ?????? ????????,?????,
45,Signature?IT,??????? IT,?????,
46,Let.co.il,???? ?????????/???????,?????,
47,GROUP 19,??????? ????? ?????? ??????????,????? / ?????,
48,Cyber.gov.il,???? ?????? ?????? ??????,????? / ???????,
49,Siraj?ngo.org,?????? ????? ??????? ???? ????? ?????,????? / ???????,
50,SMedia.co.il,??????/????? ???????,????? / ???????,
51,Energyteam,?????? AI,????? / ???????,????? ???? 2026
