current_company_name_clean,count
Ben-Gurion University of the Negev,46
Soroka Medical Center,11
ICL Group,8
CBG - Cyber@Ben-Gurion University,7
"Vishay Intertechnology, Inc.",5
ADAMA Ltd.,4
BGRacing,3
SCE - Shamoon College of Engineering,3
ICL Industrial Products,2
Israel Defense Forces,2
OR Movement תנועת אור,2
"Kaye Academic College of Education | המכללה האקדמית לחינוך ע""ש קיי",2
2bPrecise,2
MDClone,2
Nitzanim Program,2
AudioCodes,2
Rafael Advanced Defense Systems,2
NIBN | The National Institute for Biotechnology in the Negev,1
Israel National Cyber Directorate - מערך הסייבר הלאומי,1
B24chat,1
Elital Sportswear,1
Gav-Yam Negev Advanced Technologies Park (ATP),1
Build - Urban Strategy,1
Kimberlite Venture Studio,1
ויסוקר שטרן,1
Intel Corporation,1
Amppera Ltd.,1
Rikushet | ריקושט,1
Asiatica Restaurant,1
National fire and rescue authority,1
JPPI - The Jewish People Policy Institute,1
Menora Mivtachim Group,1
Matrix,1
Vaitzman Liberman Electrical Engineering,1
ProveSource & Shapo (Configo LTD),1
even derech (milestone),1
OTech Digital Solutions,1
Lycored,1
Weirdoz,1
Mandel Center for Leadership in the Negev,1
ORS-Human Resources,1
Maccabi Health care Services,1
Systematics Ltd. Solutions at work.,1
Eak engineering,1
ECI Telecom,1
עיריית נתיבות | Netivot Local Government,1
YANAI LTD. ELECTRICAL ENGINEERING,1
Rimonim Insurance Agency,1
Altera Digital Health,1
Middle East Tube (tube),1
National Insurance Institute of Israel (המוסד לביטוח לאומי),1
"ANCAN - המרכז הלאומי ע""ש עזריאלי לחקר אוטיזם ונוירו-התפתחות",1
Eco-Vision,1
Israel Land Authority - רשות מקרקעי ישראל,1
Israeli Air Force,1
Home sweet home,1
Israeli standart institution,1
Bar Giora,1
Forte Investment House,1
Hashmalor,1
Emalogic Software,1
The Technological College of Beer-Sheva,1
Goldman medical school Ben Gurion University,1
Reisdor,1
Ribbon Communications,1
HyperGuest,1
"אראל א.ש הנדסת חשמל בע""מ",1
המכללה הטכנולוגית באר שבע The Technological College of Beer-Sheva,1
Eshet Engineering,1
Department of Justice,1
משרד המשפטים,1
Amazon Web Services (AWS),1
Atlas,1
mental health and social support services for Holocaust survivors and the elderly in Israel,1
Team 3 Group,1
RAD,1
Realnet LTD,1
Ministry of Education,1
Eretz-Ir NGO,1
רז לוי-הדרכה ושטח,1
Education,1
Self Employed,1
"Ministry of Economy and Industry, Israel",1
מינהל התכנון - Israeli Planning Administration,1
Y.S batim Beer sheva,1
wholesaler,1
The Jewish Agency for Israel,1
ארץ עיר,1
Trabelsi - Insurance Agency,1
Alstom,1
Vigoda Clinic,1
Ministry of Education (Israel),1
KPMG Israel,1
Roboteam,1
Shoval Nahshon,1
Midbarium,1
Zur Solutions Ltd,1
-none-,1
MLoan,1
Pilat Group,1
BGU International,1
Al Ubra Law Firm,1
University of Cambridge,1
"The AI for SW Lab, Ben-Gurion University of the Negev",1
Isotop,1
Saba Jebeto,1
TSG IT Advanced Systems Ltd.,1
Shoval Eng,1
"Keller Williams Realty, Inc.",1
Summit Institute,1
TAHAN (1985) Ltd,1
Beernews,1
