,education_field_fine,field_stem_line,count,n_total,n_known,known_pct
0,accounting_and_finance,non_stem,44,55547,6464,11.6
1,behavioral_sciences,non_stem,155,55547,6464,11.6
2,biology,stem,361,55547,6464,11.6
3,biomedical_engineering,stem,59,55547,6464,11.6
4,biotechnology,non_stem,41,55547,6464,11.6
5,biotechnology,stem,89,55547,6464,11.6
6,business_administration,non_stem,1098,55547,6464,11.6
7,chemical_engineering,non_stem,1,55547,6464,11.6
8,chemical_engineering,stem,161,55547,6464,11.6
9,civil_engineering,stem,109,55547,6464,11.6
10,computer_science,stem,595,55547,6464,11.6
11,data_science,non_stem,10,55547,6464,11.6
12,data_science,stem,27,55547,6464,11.6
13,economics,non_stem,560,55547,6464,11.6
14,electrical_and_computer_engineering,stem,99,55547,6464,11.6
15,electrical_engineering,stem,344,55547,6464,11.6
16,geography,non_stem,122,55547,6464,11.6
17,health_care_administration,non_stem,62,55547,6464,11.6
18,hospitality_management,non_stem,16,55547,6464,11.6
19,industrial_engineering,non_stem,5,55547,6464,11.6
20,industrial_engineering,stem,427,55547,6464,11.6
21,linguistics,non_stem,73,55547,6464,11.6
22,management_information_systems,non_stem,24,55547,6464,11.6
23,materials_engineering,stem,137,55547,6464,11.6
24,mechanical_engineering,stem,457,55547,6464,11.6
25,medicine,stem,318,55547,6464,11.6
26,nursing,stem,60,55547,6464,11.6
27,physics,stem,28,55547,6464,11.6
28,political_science,non_stem,80,55547,6464,11.6
29,political_science,stem,2,55547,6464,11.6
30,psychology,non_stem,517,55547,6464,11.6
31,public_policy,non_stem,65,55547,6464,11.6
32,social_work,non_stem,179,55547,6464,11.6
33,software_engineering,non_stem,1,55547,6464,11.6
34,software_engineering,stem,138,55547,6464,11.6
